2017-01-25 14:15:40,059 [12762583]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:40,061 [12762585]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/CampaignTarget.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:42,938 [12765462]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:42,943 [12765467]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/CampaignTarget.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:43,075 [12765599]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:15:43,077 [12765601]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/CampaignTarget.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:45,660 [12768184]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:45,662 [12768186]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:45,803 [12768327]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:45,805 [12768329]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:48,677 [12771201]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:51,310 [12773834]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:51,452 [12773976]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:51,454 [12773978]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:54,334 [12776858]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:54,336 [12776860]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:54,478 [12777002]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:54,480 [12777004]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:57,333 [12779857]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:57,338 [12779862]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/CampaignTarget.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:57,474 [12779998]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:15:57,476 [12780000]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/CampaignTarget.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:16:00,089 [12782613]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:16:00,091 [12782615]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:16:00,233 [12782757]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:16:00,234 [12782758]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:16:03,127 [12785651]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:16:03,129 [12785653]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:16:03,266 [12785790]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
